CASE_NUMBER,CASE_STATUS,DECISION_DATE,VISA_CLASS,JOB_TITLE,SOC_CODE,SOC_TITLE,FULL_TIME_POSITION,TOTAL_WORKER_POSITIONS,NEW_EMPLOYMENT,CHANGE_EMPLOYER,EMPLOYER_NAME,EMPLOYER_FEIN,EMPLOYER_STATE,WORKSITE_CITY,WORKSITE_STATE,WAGE_RATE_OF_PAY_FROM,WAGE_UNIT_OF_PAY,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,H-1B_DEPENDENT,WILLFUL_VIOLATOR
I-200-2024-00120,Certified - Withdrawn,2024-01-28,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,77000.0,Year,63700.0,Year,,N,N
I-200-2024-00121,Certified,2024-01-27,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,104300.0,Year,92300.0,Year,,N,N
I-200-2024-00122,Certified,2024-01-31,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,71700.0,Year,65000.0,Year,III,N,N
I-200-2024-00123,Certified,2023-11-15,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,132800.0,Year,117800.0,Year,,N,N
I-200-2024-00124,Certified,2024-04-10,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,103400.0,Year,95100.0,Year,III,N,N
I-200-2024-00125,Certified,2024-03-18,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,92200.0,Year,83000.0,Year,III,N,N
I-200-2024-00126,Certified,2024-02-27,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,1,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,86800.0,Year,76600.0,Year,I,N,N
I-200-2024-00127,Certified,2024-06-04,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,97300.0,Year,91200.0,Year,,N,N
I-200-2024-00128,Certified,2023-11-12,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,100500.0,Year,87000.0,Year,I,N,N
I-200-2024-00129,Certified,2024-01-31,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,84100.0,Year,77500.0,Year,III,N,N
I-200-2024-00130,Certified,2024-06-29,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,86600.0,Year,81900.0,Year,,N,N
I-200-2024-00131,Certified,2024-08-29,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,101300.0,Year,83700.0,Year,II,N,N
I-200-2024-00132,Certified,2023-10-04,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,94600.0,Year,81900.0,Year,III,N,N
I-200-2024-00133,Certified,2024-08-05,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,123800.0,Year,122400.0,Year,I,N,N
I-200-2024-00134,Certified,2024-07-02,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,127800.0,Year,126900.0,Year,IV,N,N
I-200-2024-00135,Certified,2024-01-19,E-3 Australian,Software Developer,15-1252.00,Software Developers,Y,2,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,105300.0,Year,105100.0,Year,,N,N
I-200-2024-00136,Certified,2024-08-30,H-1B,Software Developer,15-1252.00,Software Developers,Y,2,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,114500.0,Year,92600.0,Year,I,N,N
I-200-2024-00137,Certified,2023-10-15,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,78300.0,Year,75600.0,Year,II,N,N
I-200-2024-00138,Certified,2024-08-06,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,117700.0,Year,116200.0,Year,,N,N
I-200-2024-00139,Certified,2024-07-03,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,104400.0,Year,102400.0,Year,IV,N,N
I-200-2024-00140,Certified,2024-04-21,E-3 Australian,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,114700.0,Year,108200.0,Year,III,N,N
I-200-2024-00141,Certified,2023-12-26,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,137000.0,Year,128100.0,Year,III,N,N
I-200-2024-00142,Certified,2024-01-13,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,59400.0,Year,56100.0,Year,I,N,N
I-200-2024-00143,Certified,2024-01-28,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,110200.0,Year,100800.0,Year,,N,N
I-200-2024-00144,Certified,2024-04-26,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,83000.0,Year,79500.0,Year,II,N,N
I-200-2024-00145,Certified,2024-04-26,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,1,Desert Health System,00-0000004,AZ,Demo City,AZ,116800.0,Year,105200.0,Year,II,N,N
I-200-2024-00146,Certified - Withdrawn,2024-08-08,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,78700.0,Year,66500.0,Year,IV,N,N
I-200-2024-00147,Withdrawn,2024-09-24,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,95100.0,Year,77900.0,Year,III,N,N
I-200-2024-00148,Certified,2024-09-04,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,109100.0,Year,107100.0,Year,II,N,N
I-200-2024-00149,Certified - Withdrawn,2024-01-16,E-3 Australian,Data Scientist,15-2051.00,Data Scientists,Y,2,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,117300.0,Year,111500.0,Year,IV,N,N
I-200-2024-00150,Certified,2024-09-18,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,1,Desert Health System,00-0000004,AZ,Demo City,AZ,106500.0,Year,89000.0,Year,II,N,N
I-200-2024-00151,Certified,2024-03-17,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,89100.0,Year,85900.0,Year,I,N,N
I-200-2024-00152,Denied,2024-06-24,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,93900.0,Year,80800.0,Year,,N,N
I-200-2024-00153,Certified,2024-05-13,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,2,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,122700.0,Year,113800.0,Year,,N,N
I-200-2024-00154,Certified,2024-03-17,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,104900.0,Year,91400.0,Year,,N,N
I-200-2024-00155,Certified,2024-06-03,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,1,Desert Health System,00-0000004,AZ,Demo City,AZ,71300.0,Year,60100.0,Year,III,N,N
I-200-2024-00156,Certified,2023-12-24,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,121900.0,Year,101800.0,Year,III,N,N
I-200-2024-00157,Certified,2023-12-16,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,113300.0,Year,92200.0,Year,I,N,N
I-200-2024-00158,Certified,2023-11-13,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,122500.0,Year,99800.0,Year,IV,N,N
I-200-2024-00159,Certified,2024-05-02,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,98300.0,Year,80000.0,Year,,N,N
I-200-2024-00160,Certified,2024-07-24,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,121600.0,Year,99500.0,Year,III,N,N
I-200-2024-00161,Denied,2024-04-13,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,83800.0,Year,81000.0,Year,III,N,N
I-200-2024-00162,Certified,2024-04-20,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,116400.0,Year,105200.0,Year,II,N,N
I-200-2024-00163,Certified,2024-05-25,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,95200.0,Year,78600.0,Year,III,N,N
I-200-2024-00164,Withdrawn,2024-08-22,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,118500.0,Year,107200.0,Year,I,N,N
I-200-2024-00165,Certified - Withdrawn,2023-11-11,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,125100.0,Year,113700.0,Year,IV,N,N
I-200-2024-00166,Certified,2024-05-08,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,90300.0,Year,81200.0,Year,III,N,N
I-200-2024-00167,Withdrawn,2023-11-15,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,1,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,104000.0,Year,87500.0,Year,,N,N
I-200-2024-00168,Certified,2024-06-03,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,1,Desert Health System,00-0000004,AZ,Demo City,AZ,105800.0,Year,93800.0,Year,I,N,N
I-200-2024-00169,Certified - Withdrawn,2024-09-16,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Desert Health System,00-0000004,AZ,Demo City,AZ,128800.0,Year,125500.0,Year,II,N,N
I-200-2024-00170,Certified - Withdrawn,2024-08-11,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,119200.0,Year,104500.0,Year,I,N,N
I-200-2024-00171,Certified,2024-07-22,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,80600.0,Year,72600.0,Year,I,N,N
I-200-2024-00172,Certified,2024-08-20,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,0,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,114200.0,Year,112600.0,Year,IV,N,N
I-200-2024-00173,Certified,2024-07-24,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Desert Health System,00-0000004,AZ,Demo City,AZ,119900.0,Year,101500.0,Year,IV,N,N
I-200-2024-00174,Denied,2024-07-30,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,147500.0,Year,139400.0,Year,III,N,N
I-200-2024-00175,Certified,2024-09-01,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,71400.0,Year,64000.0,Year,IV,N,N
I-200-2024-00176,Certified,2023-12-30,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,94300.0,Year,90300.0,Year,I,N,N
I-200-2024-00177,Certified - Withdrawn,2024-09-10,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,131700.0,Year,114800.0,Year,III,N,N
I-200-2024-00178,Certified,2024-06-28,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,77900.0,Year,70800.0,Year,I,N,N
I-200-2024-00179,Certified,2024-02-19,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,81000.0,Year,70800.0,Year,IV,N,N
I-200-2024-00180,Certified,2024-08-28,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,115300.0,Year,112200.0,Year,II,N,N
I-200-2024-00181,Withdrawn,2024-06-28,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,125400.0,Year,123300.0,Year,,N,N
I-200-2024-00182,Certified,2024-09-18,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,91600.0,Year,84900.0,Year,II,N,N
I-200-2024-00183,Certified,2024-05-18,H-1B,Industrial Engineer,17-2112.00,Industrial Engineers,Y,2,1,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,115800.0,Year,115400.0,Year,,N,N
I-200-2024-00184,Certified,2024-09-22,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,1,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,107300.0,Year,101500.0,Year,IV,N,N
I-200-2024-00185,Withdrawn,2024-04-19,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,2,1,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,135400.0,Year,130800.0,Year,III,N,N
I-200-2024-00186,Certified,2024-09-09,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,105000.0,Year,102800.0,Year,III,N,N
I-200-2024-00187,Certified,2024-06-01,E-3 Australian,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,124800.0,Year,106600.0,Year,,N,N
I-200-2024-00188,Certified,2024-07-25,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,86900.0,Year,86700.0,Year,IV,N,N
I-200-2024-00189,Certified,2024-01-23,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,101300.0,Year,88900.0,Year,,N,N
I-200-2024-00190,Certified,2024-07-29,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,103100.0,Year,92700.0,Year,IV,N,N
I-200-2024-00191,Certified,2024-08-06,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,0,1,Quantfield Capital L.P.,00-0000002,NY,Demo City,NY,127800.0,Year,106800.0,Year,IV,N,N
I-200-2024-00192,Denied,2024-02-19,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,0,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,116600.0,Year,112400.0,Year,IV,N,N
I-200-2024-00193,Certified,2024-02-24,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,1,1,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,90000.0,Year,78100.0,Year,I,N,N
I-200-2024-00194,Certified,2024-06-02,H-1B,Software Developer,15-1252.00,Software Developers,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,118600.0,Year,111200.0,Year,II,N,N
I-200-2024-00195,Certified,2023-11-23,H-1B,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,2,1,0,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,120400.0,Year,101600.0,Year,III,N,N
I-200-2024-00196,Withdrawn,2024-09-20,E-3 Australian,Industrial Engineer,17-2112.00,Industrial Engineers,Y,1,0,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,102800.0,Year,89500.0,Year,III,N,N
I-200-2024-00197,Certified,2023-10-04,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,0,0,Blue River Logistics LLC,00-0000001,TX,Demo City,TX,99800.0,Year,87500.0,Year,IV,N,N
I-200-2024-00198,Certified,2023-12-03,H-1B,Data Scientist,15-2051.00,Data Scientists,Y,1,0,0,"Acme Analytics, Inc.",00-0000000,AZ,Demo City,AZ,101100.0,Year,85700.0,Year,III,N,N
I-200-2024-00199,Certified,2024-05-18,E-3 Australian,Data Scientist,15-2051.00,Data Scientists,Y,1,1,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,71100.0,Year,57400.0,Year,,N,N
I-200-2024-00002,Certified,2024-02-06,H-1B,Operations Research Analyst,15-2031.00,Operations Research Analysts,Y,1,1,1,Northstar Consulting Corp,00-0000003,IL,Demo City,IL,116000.0,Year,109300.0,Year,IV,N,N
